data_hora	versao	sha256_pdf
2026-07-14T01:35:56+0000	acoes-modelagem-navegabilidade-e-linha-do-tempo	2a5c3f97a87ebe96dbc8e20840522c51dea270be8da059b5170c9f01386ce07c
2026-07-14T13:53:10+0000	menu-categorias-compacto-hierarquico	2a5c3f97a87ebe96dbc8e20840522c51dea270be8da059b5170c9f01386ce07c
2026-07-14T14:31:50+0000	comparacao-categorias-fontes-ampliadas	2a5c3f97a87ebe96dbc8e20840522c51dea270be8da059b5170c9f01386ce07c

2026-07-14T14:43:53+0000	representacao-categoria-estatica	5ad956fc2956c2a46b46b38927dd365f7c47331ff6cf4570503da992b3459278

2026-07-14	artigo-ciclos-classificados	Ciclos divididos em estrutural/generalização, consistência teórico-metodológica e refinamento visual/operacional; artigo LaTeX/PDF incorporado.	c685658a7972a05bbd047aa08f1e8bbe786f3170126e4e03296cffc65d39b26b

2026-07-14	artigo_resumo_criterio_classificacao_ciclos	Resumo atualizado para explicitar a separação dos 27 ciclos e os critérios de alcance: estrutural/generalização, consistência teórico-metodológica e refinamento visual-operacional.	DOCUMENTACAO

2026-07-14	regressao_documental_artigo	PENDENTE_SHA256
2026-07-14T16:15:09+0000	regressao-documental-artigo	5ad956fc2956c2a46b46b38927dd365f7c47331ff6cf4570503da992b3459278
2026-07-14T16:38:51+0000	comparacao_visual_mesma_solucao	d0c20b979c6eb17df0c57321c64971ea55ce888b71ff9510242e733dbc8b4e65
2026-07-14	montagem-situacao-blocos-distancia-semantica-controlada	DOCUMENTACAO_C33_E_TESTES
2026-07-14	correcao-novo-diagrama-variedade-c33	Botão Novo diagrama sem repetição imediata; catálogo mínimo de composição, transformação e comparação em pt/en/fr; regressão aprovada.	70afd37fb09b10806314f2cbbe11f32de84e04d25b8f14d683c6b2b6decdcefe
2026-07-14	construir-situacao-tooltip-categoria-c35	Nomenclatura de construção; definição da categoria sob demanda no nome; logs e documentação atualizados; regressão aprovada.	DOCUMENTACAO_C35_E_TESTES
2026-07-15	comparacao-grafico-barras-manipulavel-c36	Substituição do Venn por barras manipuláveis na comparação de medidas; documentação e i18n atualizadas.	DOCUMENTACAO_C36_E_TESTES
2026-07-15	comparacao-barras-mapeamento-curadoria-c37	Correção da ordem semântica: referido, valor relativo e referendo; incógnita preservada como ?; escala manipulável ampliada.	DOCUMENTACAO_C37_E_TESTES
2026-07-15	curadoria-sem-campos-id-c38	Identificadores técnicos retirados da interface; vínculos e persistência preservados internamente.	DOCUMENTACAO_C38_E_TESTES
2026-07-15	curadoria-personagens-objetos-c39	Campos personagem_1, personagem_2 e personagem_3 adicionados ao formulário, modelo e TSV; retrocompatibilidade preservada.	DOCUMENTACAO_C39_E_TESTES
2026-07-15	quebra-texto-grafico-comparacao-c40	Descrição do gráfico com quebra automática e limite de duas linhas; i18n e regressão verificadas.	DOCUMENTACAO_C40_E_TESTES
2026-07-15	comparacao-segmento-controle-personagens-c41	Remoção do texto explicativo; segmento 0..n com ponto de controle e personagens abaixo de referido/referendo.	DOCUMENTACAO_C41_E_TESTES
2026-07-15	comparacao-ponto-manipulavel-cartao-relativo-c42	Ponto azul do segmento tornou-se manipulável e o cartão do valor relativo foi restaurado e sincronizado.	DOCUMENTACAO_C42_E_TESTES
